id,title,user_story,acceptance_criteria,owner,support,milestone,priority,initial_effort,dependencies,status,issue_url
DDP-01,Repository and team setup,As a contributor I can run the project and submit a reviewed change.,"All confirmed members can clone, run and push a branch; one small reviewed PR each; README names runtime and commands.",TD,All,S1,Must,4–6 h,None,Not started,
DDP-02,Student application shell,As a student I can identify DDP and navigate its main views.,"DDP/Dal branding and existing logo; responsive sidebar/mobile drawer; four views with hash navigation, skip link and help; compare reference keyboard/mobile paths.",S1,J1,S1,Must,3–5 h,01,Not started,
DDP-03,Scope and source authority,As a project team we know which curriculum and users we support.,Client questions logged; BACS intake year and source approver requested; unresolved assumptions visible; scope decisions linked.,PD,"TD, S2, J2",BL,Must,2–4 h,01,Not started,
DDP-04,Reference curriculum contract and seed data,As a student I can see course data with source and review status.,"Use reference course IDs and curriculum shape (revision, updatedAt, courses, rules, ruleSources, degree); preserve source-year and unknown/reviewed-empty distinctions; no live timetable feed.",S2,"J2, TD",S2,Must,4–6 h,03,Not started,
DDP-05,Searchable course explorer,As a student I can find a course by code or title.,"Case-insensitive code/title search, category and level filters, hide-planned option, active-course filtering and empty state match the reference.",S1,J1,S2,Must,3–5 h,"02, 04",Not started,
DDP-06,Course details and official links,As a student I can inspect requirements and reach official sources.,"Details show credits, reviewed rule text/status and source year; calendar/timetable links work; dialog closes with focus restored.",S1,J1,S2,Must,2–4 h,05,Not started,
DDP-07,Accessible multi-year term planner,"As a student I can add, move and remove a course without logging in.","Four-year Fall/Winter grid, optional Summer and all-years view; labelled example and confirmed blank reset; add/move/remove and grade controls; move does not duplicate or discard an existing grade; term totals update.",S1,S2,S2,Must,5–8 h,"04, 06",Not started,
DDP-08,Local saving and recovery,As a student I can return to my plan in this browser.,Reload restores plan; storage failure shows feedback without losing in-memory edits; invalid stored data handled; browser-only limitation stated.,S2,TD,S2,Must,3–5 h,07,Not started,
DDP-09,Versioned JSON export,As a student I can keep a portable backup.,Export matches reference version:1/isExample/entries courseId-termId-grade format and filename; blank grade is an empty string; reference and rebuilt exports cross-import.,S2,J2,S2,Must,2–3 h,07,Not started,
DDP-10,Validated plan import,As a student I can restore a saved plan safely.,Valid cross-import preserves entries; malformed/over-1MB/unsupported-version/unknown-ID/invalid-grade/duplicate input rejected; cancellation or failure preserves current plan; replacement confirmed.,S2,"TD, J2",S2,Must,3–5 h,09,Not started,
DDP-11,Student slice review and QA,As a director I can demonstrate completed student outcomes.,Search→details→add→move→reload→export/import executed on release commit; defects linked; individual work pushed before Oct. 11.,PD,All,S2,Must,2–4 h,"05, 06, 07, 08, 09, 10",Not started,
DDP-12,AND/OR prerequisites and chronology,As a student I can identify courses planned before their prerequisites.,All groups required; any alternative can satisfy its group; earlier term required unless concurrent allowed; missing/unknown cases visible; synthetic tests cover branches.,S2,TD,S3,Must,5–8 h,"04, 07",Not started,
DDP-13,Grades and co-requisites,As a student I can distinguish pending from earned eligibility.,C and C+ thresholds compared correctly in synthetic tests; blank grade is pending; below minimum blocks; co-requisite allows same term only where reviewed rule permits.,S2,"TD, J2",S3,Must,3–5 h,12,Not started,
DDP-14,Checks panel and workload guidance,As a student I can understand what to change in my plan.,Issues identify course/term and reason in text; fix recalculates promptly; workload warning labelled guidance; no unsupported graduation guarantee.,S1,"J1, S2",S3,Must,2–4 h,"12, 13",Not started,
DDP-15,Dependency map,As a student I can explore ancestors and dependent courses.,Selected course highlights reachable prerequisites/dependents; traversal terminates on cycles; unknown rules visible; keyboard course buttons and text list available.,S1,"TD, J1",S3,Must,5–8 h,"12, 06",Not started,
DDP-16,Requirement progress,As a student I can distinguish planned coverage from earned credit.,"Match reference planned category/option progress, earned-credit summary and elective guidance; preserve warnings that counts do not establish graduation eligibility; no new full elective audit.",S2,J2,S3,Must,4–6 h,"04, 13",Not started,
DDP-17,Drag/drop with alternative controls,As a student I can quickly rearrange courses.,Drop adds/moves only a valid course to a valid term; credits/checks update; labelled add/move controls remain usable by keyboard/touch.,S1,J1,S4,Must,3–5 h,"07, 14",Not started,
DDP-18,Admin hosting and API contract,As a maintainer I know how admin changes persist.,FCS runtime/storage/HTTPS confirmed or blocker recorded; API/schema/error/version contract and hosting ADR reviewed; no assumption that static hosting runs a server.,TD,S2,S3,Must,2–4 h,"03, 04",Not started,
DDP-19,Admin authentication and authorization,As an authorized admin I can access editing tools.,Server verifies credentials with appropriate password hashing and protected sessions; unauthorized writes denied; session/logout and CSRF controls tested; credentials excluded from frontend/repo.,TD,S2 review,S4,Must,6–8 h,18,Not started,
DDP-20,Course admin editing,"As an admin I can add, edit and archive a course.","All reference course fields, fixed code on edit, search and active/archived/all filters supported; create/edit/archive/restore validated server-side; save persists across restart; shared curriculum, stale-edit protection and activity history match.",S1,"TD, S2",S4,Must,5–8 h,"19, 04",Not started,
DDP-21,Degree and rule admin editing,As an admin I can maintain approved requirements.,"Match reference reviewed/unknown rule toggle, AND/OR groups, grade/timing/source fields and degree/group/elective editing; revision conflicts visible; invalid totals/fields denied; saves appear in activity history.",S2,"TD, S1",S4,Must,6–8 h,"20, 12, 16",Not started,
DDP-22,Preserve and review reference data coverage,As a student I know which rules have been verified.,Preserve existing catalogue and clearly labelled review gaps; verify sources for changed records; document coverage; no new transfer/elective audit or invented C+ rule.,S2,"J2, PD",S4,Must,4–8 h,"03, 04, 16",Not started,
DDP-23,Usability and accessibility review,As a student I can use the main flows on a narrow screen and keyboard.,Agreed student tasks observed; focus/dialog/labels/status messages checked; issues prioritized and fixed or documented; feedback identifies build used.,S1,"J1, PD",S4,Must,3–5 h,"15, 17",Not started,
DDP-24,Deployment and regression,As a stakeholder I can use a stable release candidate.,Clean build/applicable tests; actual host-path smoke check; student fallback when API unavailable; VITE_FRONTEND_ONLY=true static build has bundled data and disabled admin; full backend restart/persistence/restore tested when available; parity results recorded.,TD,"S1, S2, J2",S4,Must,4–8 h,"19, 20, 21, 22, 23",Not started,
DDP-25,Presentation and demonstration,As a stakeholder I can understand delivered results.,Date/rubric confirmed; timed rehearsal completed; demo matches release and has fallback; every member contribution represented truthfully.,PD,All,PR,Must,3–5 h,11; update with 24,Not started,
DDP-26,Executable and acceptance package,As a non-technical stakeholder I can open and test the product.,"Release/tag, start guide, acceptance steps and known issues supplied; another person follows install; actual acceptance outcomes recorded; package submitted Dec. 9.",TD,"PD, All",EX,Must,4–6 h,24,Not started,
DDP-27,Handover and individual declarations,As a client I receive materials and maintenance knowledge.,"Six reviewed declarations, repo/release/docs/access inventory, walkthrough and acknowledgement recorded; open work assigned; exact deadline confirmed.",PD,All,HO,Must,3–5 h,26,Not started,
DDP-28,Live timetable availability integration,As a student I can see synchronized offerings if a supported source exists.,Supported source/permission and refresh semantics agreed; stale/error states visible; term coverage tested; no scraping assumption.,TD,S2,Future,Stretch,Discovery first,18; client approval,Not started,
DDP-29,Transfer/repeat/equivalence audit,As a student I can model more complex academic cases.,Advisor-approved semantics and fixtures precede implementation; repeated attempts and equivalents avoid double credit; exclusions reported.,S2,TD,Future,Stretch,Discovery first,22; client approval,Not started,
DDP-30,PDF plan export,As a student I can share a readable plan document.,Printable plan includes terms/credits/check limitations and source version; long labels remain readable; JSON backup still supported.,S1,J1,Future,Could,3–5 h,"09, 23",Not started,
